" and "," en "
"Client Session Timeout (sec.)", "Klant sessie Time-out (sec.)"
"Close", "Sluit"
"Comments History", "Reacties Geschiedenis"
"Confirmed email:", "Bevestigd e-mail:"
"Connect with the Magento Community","Koppelen met de Magento Gemeenschap"
"Contents", "Inhoud"
"Country:", "Land:"
"Created At", "Gemaakt op"
"Credit Card Number", "Credit Card Nummer"
"Credit Card Number: xxxx-%s", "Credit Card Nummer: xxxx-%s"
"Credit Card Type", "Credit Card Type"
"Credit Card Type: %s", "Credit Card Type: %s"
"Credit Memo History", "Creditnota Geschiedenis"
"Credit Memo Totals", "Creditnota Totalen"
"Current Configuration Scope:", "Huidige configuratie Scope:"
"Custom", "Aangepast"
"Customer", "Klant"
"Customer Group:", "Klanten Groep:"
"Customer Since:", "Klant Sinds:"
"Customers", "Klanten"
"DHTML Date/Time Selector", "DHTML Datum / Tijd Selectie"
"Dashboard", "Dashboard"
"Data Format", "Data Formaat"
"Data transfer:", "Data overdracht:"
"Date selection:", "Datum selectie:"
"Date selector", "Datum kiezen"
"Decimal separator:", "Decimaal scheidingsteken"
"Default (Admin) Values", "Standaard (Admin) Waarden"
"Default Billing Address", "Standaard Factuuradres"
"Default Values", "Standaard Waarden"
"Delete", "Verwijderen"
"Direction:", "Richting:"
"Display %s first", "Toon %s als eerste
"Distributed under GNU LGPL. See %s for details.", "Gedistribueerd onder GNU LGPL. Zie %s voor details."
"Drag to move", "Sleep om te verplaatsen"
"Edit Role","Rol aanpassen"
"Edit User '%s'", "Gebruiker '%s' aanpassen"
"Email", "E-mail"
"Email Preview", "E-mail Voorvertoning"
"Email:", "E-mail:
"Enclose Values In:", "Voeg Waarden in:"
"Entity type:", "Entiteit type:"
"Excl. Tax", "Excl. Belasting"
"Expiration Date", "Vervaldatum"
"Expiration Date: %s/%s", "Vervaldatum: %s/%s"
"Export", "Export"
"Export Filters", "Export Filters"
"Export to:", "Export naar:"
"Export:", "Export:"
"Extension", "Uitbreiding"
"Extensions", "Uitbreidingen"
"FTP Host[:Port]", "FTP-host [: port]"
"Field Mapping", "Field Mapping"
"File Information", "Bestandsinformatie"
"File name:", "Bestandsnaam:"
"Files", "Bestanden"
"Final Price", "Definitieve Prijs"
"First Name:", "Voornaam:"
"For latest version visit: %s", "Ga voor de meest recente versie naar: %s"
"From", "Van"
"General Information", "Algemene informatie"
"General Settings", "Algemene instellingen"
"Get help for this page", "Hulp krijgen bij deze pagina"
"Global Record Search", "Global Record Search"
"Go Today", "Ga naar vandaag"
"Google Base Items", "Google Base-items"
"Group:", "Groep:"
"Help Us Keep Magento Healthy - Report All Bugs", "Help ons Magento gezond te houden - Rapporteer alle bugs"
"Ignore", "Negeer"
"Images", "Beelden"
"Import", "Import"
"Import Service", "Import Service"
"In Database:", "In de database:"
"In File:", "In bestand:"
"Incl. Tax", "Incl. Belasting"
"Include", "Inclusief"
"Interactive", "Interactieve"
"Interface Locale: %s", "Interface Lokaal: %s"
"Invalid webservice adapter specified.", "Ongeldige webservice-adapter opgegeven."
"Invalid webservice handler specified.", "Ongeldige webservice handler opgegeven."
"Invoice History", "Factuur Geschiedenis"
"Invoice Totals", "Factuur Totalen"
"Is Closed", "Is gesloten"
"Issue Number", "Probleem Nummer"
"Issuer: %s", "Uitgevende instelling:% s"
"JavaScript/CSS", "JavaScript / CSS"
"JavaScript/CSS Cache", "JavaScript / CSS Cache"
"Last 5 Orders", "Laatste 5 Orders"
"Last 5 Search Terms", "Laatste 5 Zoektermen"
"Last Logged In (%s):", "Laatst ingelogd (%s):"
"Last Logged In:", "Laatst ingelogd:"
"Last Name:", "Achternaam:"
"Latest Message:", "Laatste Bericht:"
"Leave empty to use tax identifier", "Laat leeg om fiscale identificatienummer te gebruiken"
"Links with associated products will retain only after saving current product.", " Links met de bijbehorende producten zullen slechts na het opslaan van het huidige product behouden blijven"
"Loading...","Aan het laden ... '
"Local Server", "Lokale Server"
"Local/Remote Server", "Lokale / Externe Server"
"Log Out", "Uitloggen"
"Logged in as %s", "Ingelogd als %s"
"MS Excel XML", "MS Excel XML"
"Magento Core Api", "Magento Core Api"
"Magento Core Api Section", "Magento Core Api afdeling"
"Magento Logo", "Magento Logo"
"Magento ver. %s", "Magento ver. %s"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento & trade is een handelsmerk van Magento Inc. <br/>Copyright © Magento Inc"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).", "Zorg ervoor dat de gegevens codering in het bestand consistent is en opgeslagen is in een van de ondersteunde coderingen (UTF-8 of ANSI)."
"Manage Stores", "Beheer winkels"
"Max", "Max"
"Min", "Min"
"N/A", "N / A"
"Name", "Naam"
"Name on Card", "Naam op kaart"
"Name on the Card: %s", "Naam op de kaart: %s"
"Name:", "Naam:"
"Next month (hold for menu)", "Volgende maand (ingedrukt voor menu)"
"Next page", "Volgende pagina"
"Next year (hold for menu)", "Volgend jaar (ingedrukt voor menu)"
"No", "Nee"
"No Data Found", "Geen gegevens gevonden"
"No information available.", "Geen informatie beschikbaar."
"No search keywords.", "Geen zoekwoorden."
"None", "Geen"
"Note:", "Opmerking:"
"Number of records:", "Aantal records:"
"Old rate:", "Oude tarief:"
"Only mapped fields", "Alleen in kaart gebracht velden"
"Order ID", "Bestel-id"
"Order Totals", "Bestel Totalen"
"Order cannot be placed.", "Bestelling kan niet worden geplaatst."
"Original Magento attribute names in first row:", "Originele Magento attribuutnamen in de eerste rij:"
"Package", "Pakket"
"Packages", "Pakketten"
"Page", "Pagina"
"Parent Transaction ID", "Bovenliggende transactie-ID"
"Passive mode", "Passieve modus"
"Password", "Wachtwoord"
"Path", "Pad"
"Path:", "Pad:"
"Personal Information", "Persoonlijke Informatie"
"Phone:", "Telefoon:"
"Please Select", "Selecteer"
"Please confirm site switching. All data that hasn\'t been saved will be lost.", "Bevestig het wisselen van site. Alle gegevens die niet zijn opgeslagen zullen verloren gaan."
"Please continue with placing order.", "Ga verder met het plaatsen van de bestelling."
"Please enter 6 or more characters.", "Vul 6 of meer karakters."
"Please enter a number greater than 0 in this field.", "Voer een getal groter dan 0 in in dit veld."
"Please enter a valid $ amount. For example $100.00.", "Geef een geldig $ bedrag. Bijvoorbeeld $ 100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com", "Vul een geldige URL in. Bijvoorbeeld http://www.example.com of www.example.com"
"Please enter a valid URL. http:// is required", "Vul een geldige URL in. http:// is noodzakelijk"
"Please enter a valid credit card number.", "Vul een geldig credit card nummer in."
"Please enter a valid date.", "Vul een geldige datum in."
"Please enter a valid email address. For example johndoe@domain.com.", "Vul een geldig e-mailadres in. Bijvoorbeeld johndoe@domain.com."
"Please enter a valid number in this field.", "Vul een geldig nummer in in dit veld."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.", "Vul een geldig telefoonnummer in. Bijvoorbeeld (123) 456-7890 of 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Vul een geldig sofi-nummer in. Bijvoorbeeld 123-45-6789."
"Please enter a valid value from list", "Vul een geldige waarde uit de lijst in"
"Please enter a valid value, ex: 10,20,30", "Vul een geldige waarde in, ex: 10,20,30"
"Please enter a valid zip code.", "Vul een geldige postcode in."
"Please enter a valid zip code. For example 90602 or 90602-1234.", "Vul een geldige postcode in. Bijvoorbeeld 90602 of 90602-1234"
"Please enter valid password.", "Vul een geldige wachtwoord in."
"Please make sure that your changes were saved before running the profile.", "Zorg ervoor dat uw wijzigingen zijn opgeslagen voordat u het profiel opstart."
"Please make sure your passwords match.", "Zorg ervoor dat uw wachtwoorden overeenkomen."
"Please select State/Province.", "Selecteer Provincie / Staat."
"Please select an option.", "Selecteer een optie."
"Please select one of the above options.", "Selecteer een van de bovenstaande opties."
"Please select one of the options.", "Selecteer een van de opties."
"Please use in this field only"a-z,0-9,_".", "Vul in dit veld alleen"a-z ,0-9 ,_"in."
"Please use letters only (a-z) in this field.", "Gebruik alleen letters (a-z) in dit gebied."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.", "Gebruik alleen cijfers in dit gebied. Vermijd spaties of andere tekens, zoals punten of komma's."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.", "Gebruik alleen letters (az) of getallen (0-9) in dit gebied. Spaties of andere tekens zijn niet toegestaan."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.", "Gebruik alleen letters (az) of getallen (0-9) of spaties en # in dit gebied."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.", "Gebruik dit datumformaat: dd / mm / jjjj. Bijvoorbeeld 17/03/2006 voor 17 Maart 2006."
"Please wait, loading...", "Even geduld aub, aan het laden ..."
"Prev. month (hold for menu)", "Vorige maand (ingedrukt voor menu)"
"Prev. year (hold for menu)", "Vorig jaar (ingedrukt voor menu)"
"Previous page", "Vorige pagina"
"Price", "Prijs"
"Price:", "Prijs:"
"Product", "Product"
"Products", "Producten"
"Profile Information", "Profiel Informatie"
"Qty", "Aantal"
"Read details", "Lees meer details"
"Reference ID", "Referentie ID"
"Remote FTP", "Remote FTP"
"Remove", "Verwijder"
"Resource Access", "Resource Access"
"Resources", "Resources"
"Role Users", "Rol Gebruikers"
"Roles", "Rollen"
"Roles Resources", "Rollen Resources"
"SKU", "SKU"
"SKU:", "SKU:"
"Select All", "Alles selecteren"
"Select Date", "Selecteer datum"
"Select Range", "Selecteer Bereik"
"Select Visible", "Selecteer Zichtbaar"
"Select date", "Selecteer datum"
"Shipment Comments", "Zending Reacties"
"Shipment History", "Zending Geschiedenis"
"Shipping Address", "Verzendadres"
"Shipping address selection is not applicable", "Verzendadres selectie is niet van toepassing"
"Shipping method selection is not applicable", "Verzendwijze selectie is niet van toepassing"
"Show By","Getoond door"
"Show Report For", "Toon Verslag Voor"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.", "Sommige artikelen in deze bestelling hebben verschillende facturen en verzending types. U kunt een zending pas aanmaken nadat de factuur is aangemaakt."
"Sort Order", "Sorteervolgorde"
"Spreadsheet Name:", "Spreadsheet Naam:"
"Start Date", "Startdatum"
"Start/Reset Validation...", "Start / Reset Validatie ..."
"State/Province:", "Provincie:"
"Status", "Status"
"Status:", "Status:"
"Stock Quantity:", "Voorraad Hoeveelheid:"
"Store:", "Winkel:"
"Switch/Solo card issue number: %s", "Switch / Solo-kaart nummer van afgifte: %s"
"Switch/Solo card start Date: %s/%s", "Switch / Solo-kaart start datum: % s/%s"
"Switch/Solo/Maestro(UK Domestic) Only", "Switch / Solo / Maestro (UK Binnenlandse) Alleen"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s", "Switch / Solo / Maestro (UK Binnenlandse) afgifte van nummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s", "Switch / Solo / Maestro (UK Binnenlandse) kaart start datum: %s/%s"
"Target", "Doel"
"The card has failed verification with the issuer bank.", "De kaart heeft geen verificatie bij de uitgevende bank."
"The information in this tab has been changed.", "De informatie in dit tabblad is gewijzigd."
"There has been wrong payment information submitted or time limit has expired. Please, try again.", "Er is ten onrechte informatie verstrekt  of de betaling termijn is verstreken. Gelieve opnieuw te proberen."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.", "Dit is een demo winkel. Alle bestellingen via deze winkel zullen niet worden nagekomen of voldaan."
"This is a required field.", "Dit is een verplicht veld."
"This tab contains invalid data. Please solve the problem before saving.", "Dit tabblad bevat ongeldige gegevens. Gelieve het probleem op te lossen voordat u opslaat."
"Thumbnail", "Thumbnail"
"Time selection:", "Tijd selectie:"
"Time:", "Tijd:"
"To", "Om"
"Top 5 Search Terms", "Top 5 Zoektermen"
"Total %d records found", "Totaal %d records gevonden"
"Track Order", "Volg Bestelling"
"Track this shipment","Volg deze zending"
"Transaction Data", "Transactie Data"
"Transaction Details", "Transactie Details"
"Transaction ID", "Transactie-ID"
"Transaction Type", "Transactie Type"
"Type", "Type"
"Type:", "Type:"
"Unable to login.", "Kan niet inloggen."
"Unselect All", "Alles deselecteren"
"Unselect Visible", "Deselecteer Zichtbaar"
"Updated At", "Bijgewerkt Op"
"Use Default Value", "Gebruik standaard waarde"
"User", "Gebruiker"
"User Name", "Gebruikersnaam"
"User Roles", "Rollen van gebruiker"
"User name", "Gebruikersnaam"
"Users", "Gebruikers"
"Value Delimiter:", "Waarde scheidingsteken:"
"Verification Failed", "Verificatie mislukt"
"Verification Successful", "Verificatie Succesvol"
"Verification cannot be processed", "Verificatie kan niet worden verwerkt"
"View", "Bekijk"
"View Statistics For", "Bekijk de statistieken voor"
"Visibility:", "Zichtbaarheid:"
"Warning! Empty value can cause problems with CSV format.", "Waarschuwing! Lege waarde kan problemen veroorzaken met het CSV-formaat."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?", "Let op!\r\nDeze actie zal deze gebruiker verwijderen van reeds toegewezen rollen\r\nWeet je het zeker?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?", "Let op!\r\nDeze actie zal de gebruikers van reeds toegewezen rollen verwijderen\r\nWeet je het zeker?"
"We detected that your JavaScript seem to be disabled.", "We hebben geconstateerd dat uw JavaScript lijkt te zijn uitgeschakeld."
"Web Services", "Web Diensten"
"What is this?", "Wat is dit?"
"Yes", "Ja"
"You have", "U heeft"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.", "U moet JavaScript aanzetten in je browser om de functionaliteit van deze website te gebruiken."
"Your account has been deactivated.", "Uw account is gedeactiveerd."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.", "Door uw server PHP-instellingen kunt u niet meer dan %s bestanden tegelijk uploaden. Pas post_max_size (momenteel %s) en upload_max_filesize (momenteel %s) waarden in php.ini aan als u grotere bestanden wilt uploaden."
"Zip/Postal Code:", "Postcode:"
"critical", "kritische"
"images/logo.gif", "images/logo.gif"
"items selected", "geselecteerde artikelen"
"major", "belangrijke"
"minor", "minder belangrijke"
"notice", "mededeling"
"of %s pages", "van %s pagina's"
"per page", "per pagina"
"to", "naar"
