"%s days","%s jours"
"Access denied!","Accès refusé !"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Pour ajouter l'article à votre panier <a href='%s'>déconnectez vous</a> du mode de confirmation de devis."
"To update item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","To update item to the Shopping cart <a href='%s'>log out</a> from Quote Confirmation mode."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Pour ajouter l'article au mode de commande <a href='%s'> changez au mode devis.</a>"
"TO:","A :"
"Unable to send email.","Impossible d'envoyer l'email."
"Unit price","Prix unitaire"
"Unknown exception","Erreur inconnue"
"View Quote","Visualiser devis"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Vous êtes dans le mode de confirmation de devis, <a href='%s'>veuillez-vous déconnecter</a>."
"You have placed no quotes.","Vous n'avez pas encore de demandes de devis."
"You log out successfully from Quote confirmation mode.","Vous êtes bien déconnecté du mode de confirmation de devis."
"You will receive a quote confirmation email with a link to track progress.","Vous allez recevoir une confirmation de devis par email avec un lien pour rester informé sur la progression de votre demande."
"You're welcome to place a new Request for Quote","Vous êtes invités à placer une nouvelle demande"
"Your order list contains items that cannot quoted.","Votre panier contient des articles pour lesquelles une demande de devis n'est pas permis."
"Your quote has been canceled","Votre demande de devis a été annulée"
"Your quote has been received","Votre demande de devis a bien été reçue."
"Your quote list contains items that cannot ordered.","Votre demande de devis contient des articles qui ne peuvent être commandés."
"Your quote request has been received","Votre demande de devis a bien été reçue."
"Your quote request has been submitted successfully.","Votre demande de devis a bien été placée."
"Your shopping cart will be changed to Quote Request if you continue.","Votre panier va être changé en mode demande de devis si vous continuez."
"Zip/Postal Code","Code postale"
"Add Qty","Ajouter qté."
"enter your address", "entrez votre adresse"
"enter your city", "entrez votre ville"
"enter your Zip", "entrez votre code postal"
"enter your state", "entrez votre province"
"Request a shipping quote", "Demandez un devis d'expédition"
"Total price", "Total price"
